amount,average_transaction_amount,amount_deviation,transaction_hour,transaction_day,transactions_last_10_minutes,transaction_frequency,is_new_device,is_new_location,merchant_risk,is_fraud
6877.18,4500.0,1.53,10,12,1,24,0,0,0,0
2084.09,3000.0,0.69,10,17,0,12,0,0,1,0
1810.43,1500.0,1.21,16,16,0,28,0,0,0,0
946.08,2000.0,0.47,10,15,0,49,0,0,0,0
3833.96,4500.0,0.85,13,5,1,48,0,0,0,0
13731.4,12000.0,1.14,11,8,0,27,1,0,0,0
9055.71,6000.0,1.51,18,3,0,43,0,0,1,0
63050.8,12000.0,5.25,7,5,5,20,0,1,1,0
12756.9,8000.0,1.59,20,6,1,9,0,0,0,0
10282.34,12000.0,0.86,9,24,0,10,0,0,0,0
1707.83,2500.0,0.68,13,16,0,50,0,0,0,0
2800.57,3000.0,0.93,23,26,0,29,0,0,0,0
3596.14,4500.0,0.8,20,14,0,10,0,0,0,0
4362.29,3000.0,1.45,9,19,0,22,0,0,0,0
3011.26,3000.0,1.0,11,18,0,47,0,0,0,0
7785.07,12000.0,0.65,14,4,1,33,0,0,0,0
930.3,1500.0,0.62,11,19,0,6,0,0,0,0
8706.38,4500.0,1.93,16,21,0,13,0,0,1,0
1803.39,3000.0,0.6,18,14,0,11,0,0,0,0
2134.92,3000.0,0.71,19,15,0,42,0,0,0,0
36979.82,1500.0,24.65,23,21,4,32,1,1,2,1
6313.93,4500.0,1.4,15,6,0,22,0,0,0,0
14521.79,12000.0,1.21,21,25,0,41,0,0,0,0
3541.54,2000.0,1.77,20,18,0,46,0,0,0,0
2772.4,2000.0,1.39,16,18,0,20,0,0,0,0
21508.7,4500.0,4.78,18,12,3,32,1,0,2,0
5492.28,8000.0,0.69,11,10,0,19,0,0,0,0
9915.33,6000.0,1.65,13,12,1,14,0,0,1,0
26621.56,4500.0,5.92,15,18,3,26,1,1,1,0
9635.43,2500.0,3.85,13,20,3,47,1,0,1,0
2883.94,2500.0,1.15,9,4,0,34,0,0,0,0
13615.25,12000.0,1.13,21,10,0,26,0,0,0,0
17213.09,3000.0,5.74,11,15,5,42,0,1,0,0
4453.89,4500.0,0.99,13,11,0,45,0,0,0,0
1556.83,1500.0,1.04,14,19,0,38,0,0,0,0
5552.45,6000.0,0.93,15,16,0,18,0,0,0,0
5757.27,3000.0,1.92,17,10,0,29,0,0,0,0
8426.19,2000.0,4.21,8,7,4,10,1,1,2,0
16724.61,12000.0,1.39,9,20,0,47,0,0,0,0
3513.25,2500.0,1.41,17,25,0,14,0,0,0,0
1507.79,3000.0,0.5,8,13,1,32,0,0,0,0
14513.21,8000.0,1.81,9,26,0,27,0,0,0,0
1951.98,1500.0,1.3,14,15,0,36,0,0,0,0
2283.33,2500.0,0.91,22,24,0,49,0,0,0,0
4471.74,3000.0,1.49,12,28,0,25,0,0,0,0
5250.13,3000.0,1.75,6,22,0,6,0,0,0,0
15740.65,12000.0,1.31,8,19,0,35,0,0,0,0
3487.07,8000.0,0.44,7,1,0,49,0,0,1,0
3010.95,3000.0,1.0,18,24,0,35,0,0,0,0
1652.91,2000.0,0.83,20,15,0,44,0,0,0,0
5670.44,6000.0,0.95,3,4,0,23,0,0,1,0
8677.3,4500.0,1.93,15,19,0,39,0,0,0,0
10358.28,2000.0,5.18,8,28,3,24,0,0,2,0
13182.53,8000.0,1.65,8,23,0,44,0,0,1,0
1992.92,2000.0,1.0,22,9,1,37,0,0,0,0
2144.25,3000.0,0.71,15,13,0,34,0,0,0,0
8726.64,1500.0,5.82,18,28,4,44,0,1,2,0
3470.72,4500.0,0.77,7,21,0,10,0,0,1,0
8041.19,2000.0,4.02,23,19,5,32,1,0,1,0
7183.02,6000.0,1.2,15,2,0,19,0,0,0,0
9668.37,8000.0,1.21,6,18,0,5,0,0,0,0
3472.61,6000.0,0.58,4,12,0,23,0,0,0,0
6974.91,6000.0,1.16,19,8,0,6,0,0,0,0
6830.82,8000.0,0.85,14,3,0,19,0,0,0,0
15886.84,12000.0,1.32,19,24,0,42,0,0,0,0
6864.15,12000.0,0.57,9,8,0,7,0,0,0,0
2576.91,2500.0,1.03,21,9,0,35,0,0,0,0
7650.67,12000.0,0.64,12,16,0,23,0,0,0,0
2552.14,2000.0,1.28,14,6,0,20,0,0,0,0
2219.9,3000.0,0.74,11,19,0,23,0,0,0,0
6676.88,12000.0,0.56,10,22,0,40,0,0,0,0
4030.47,4500.0,0.9,5,16,0,5,0,0,0,0
5237.1,2500.0,2.09,13,10,0,12,0,0,0,0
4009.76,4500.0,0.89,10,13,0,12,0,0,0,0
4332.16,2500.0,1.73,19,9,0,42,0,0,0,0
16837.39,12000.0,1.4,11,6,0,23,0,0,0,0
3542.69,3000.0,1.18,2,22,0,36,0,0,0,0
3291.8,2000.0,1.65,17,11,0,38,0,0,0,0
2847.55,2000.0,1.42,17,26,0,6,0,0,0,0
1582.98,2000.0,0.79,18,22,1,5,0,0,0,0
1556.84,2000.0,0.78,18,10,0,10,0,0,0,0
1788.75,2000.0,0.89,21,26,0,11,0,0,0,0
1806.29,2000.0,0.9,9,6,0,6,0,0,0,0
6167.43,12000.0,0.51,23,25,0,33,0,0,1,0
6628.61,2000.0,3.31,14,18,10,36,1,1,2,1
63846.26,12000.0,5.32,19,8,4,37,1,1,2,0
2323.71,2500.0,0.93,22,27,0,34,0,0,0,0
10680.02,12000.0,0.89,14,7,0,7,0,0,1,0
8713.61,8000.0,1.09,7,12,1,14,0,0,0,0
5855.48,4500.0,1.3,16,24,1,43,0,0,0,0
2439.36,3000.0,0.81,1,15,0,33,0,0,0,0
5607.63,8000.0,0.7,14,14,0,6,0,1,0,0
3578.49,3000.0,1.19,21,23,0,36,0,0,0,0
1942.9,2500.0,0.78,10,9,0,37,0,0,1,0
13313.69,2500.0,5.33,8,16,5,14,1,1,1,0
70455.61,12000.0,5.87,20,6,5,45,1,1,1,0
1286.05,2000.0,0.64,23,13,0,16,0,0,0,0
3126.6,3000.0,1.04,13,18,0,41,0,0,1,0
11891.28,12000.0,0.99,10,26,0,11,0,0,0,0
8431.12,6000.0,1.41,13,6,0,5,0,0,0,0
13938.48,12000.0,1.16,9,1,1,11,1,0,0,0
4410.62,6000.0,0.74,14,2,0,28,0,0,0,0
2372.66,2000.0,1.19,17,3,0,49,0,0,1,0
7392.44,2000.0,3.7,20,16,5,44,0,0,2,0
5137.12,3000.0,1.71,9,19,1,15,0,0,1,0
7185.53,8000.0,0.9,9,3,0,35,0,0,0,0
2508.18,2000.0,1.25,13,17,1,33,0,0,0,0
7146.48,4500.0,1.59,15,20,0,48,0,0,0,0
2642.66,2000.0,1.32,14,8,0,33,0,0,1,0
2157.2,2000.0,1.08,13,15,0,5,0,0,0,0
4028.64,3000.0,1.34,6,2,1,29,0,0,0,0
2885.53,3000.0,0.96,17,24,0,11,0,0,0,0
2283.84,2500.0,0.91,17,3,0,41,0,0,0,0
1275.61,2500.0,0.51,14,12,1,17,0,0,0,0
14802.39,3000.0,4.93,23,13,4,17,1,0,1,0
8542.34,8000.0,1.07,12,6,0,8,0,0,0,0
1182.07,1500.0,0.79,9,9,1,44,0,0,0,0
31793.21,6000.0,5.3,6,27,5,23,0,0,1,0
8493.28,8000.0,1.06,12,27,2,30,0,0,0,0
29592.62,8000.0,3.7,14,7,3,17,1,0,2,0
12310.82,2500.0,4.92,20,20,3,5,1,0,1,0
3296.75,2500.0,1.32,10,9,0,50,0,0,1,0
9957.2,6000.0,1.66,16,6,0,22,0,0,1,0
6775.56,6000.0,1.13,15,21,1,42,0,0,2,0
11437.82,12000.0,0.95,12,8,0,9,0,0,1,0
2071.91,2500.0,0.83,14,3,0,44,0,0,0,0
516.36,1500.0,0.34,17,1,0,31,0,0,0,0
2891.94,3000.0,0.96,10,8,0,13,0,0,0,0
2851.61,1500.0,1.9,8,7,0,43,0,0,0,0
4342.74,6000.0,0.72,21,11,2,39,0,0,0,0
2224.97,3000.0,0.74,13,17,0,26,0,1,0,0
24967.14,4500.0,5.55,11,4,4,42,1,1,0,0
25984.35,6000.0,4.33,11,12,3,40,1,1,0,0
10741.57,12000.0,0.9,3,15,0,22,0,0,0,0
1735.29,1500.0,1.16,8,9,1,11,0,0,0,0
3326.2,2500.0,1.33,8,12,0,32,0,0,0,0
8376.35,8000.0,1.05,9,7,0,18,0,0,0,0
1430.31,2000.0,0.72,20,3,0,41,0,0,0,0
12384.45,8000.0,1.55,10,14,0,16,0,1,0,0
5760.35,6000.0,0.96,2,10,0,25,0,0,0,0
1787.62,1500.0,1.19,8,1,0,37,0,0,1,0
854.16,1500.0,0.57,15,10,0,42,0,0,0,0
2260.05,2000.0,1.13,8,6,1,25,0,0,1,0
890.21,1500.0,0.59,8,24,1,25,0,0,0,0
2593.71,1500.0,1.73,3,23,0,27,0,0,0,0
1658.44,2500.0,0.66,12,8,0,43,0,0,0,0
6008.82,6000.0,1.0,12,27,0,21,0,0,0,0
28806.13,2500.0,11.52,23,13,4,47,1,1,2,1
2163.45,1500.0,1.44,18,3,1,13,0,0,1,0
3829.61,3000.0,1.28,9,18,0,22,0,0,1,0
9368.1,12000.0,0.78,9,17,0,7,0,0,0,0
17650.2,8000.0,2.21,14,1,1,25,0,0,1,0
26130.37,1500.0,17.42,22,18,3,11,1,1,0,1
14223.47,12000.0,1.19,10,1,0,49,0,0,0,0
19499.25,4500.0,4.33,7,2,5,13,1,1,2,0
49374.87,12000.0,4.11,17,5,5,33,1,0,1,0
10536.27,8000.0,1.32,9,9,0,31,0,0,0,0
24112.49,4000.0,6.03,10,5,5,21,1,1,1,1
8088.8,1500.0,5.39,11,27,5,6,1,1,2,0
3990.29,3000.0,1.33,19,11,1,23,0,0,0,0
4502.71,3000.0,1.5,12,9,1,25,0,0,0,0
2144.37,2500.0,0.86,15,2,0,42,0,0,1,0
19539.43,12000.0,1.63,13,28,0,37,0,0,0,0
1486.04,2000.0,0.74,13,21,0,48,0,0,0,0
1148.42,1500.0,0.77,20,23,0,34,0,0,0,0
1546.54,1500.0,1.03,18,9,0,17,0,0,0,0
3343.02,4500.0,0.74,19,7,1,42,0,0,0,0
13418.95,12000.0,1.12,11,13,0,25,0,0,0,0
34043.55,6000.0,5.67,14,7,5,23,1,0,0,0
2278.58,3000.0,0.76,18,12,0,47,0,0,0,0
1663.55,2500.0,0.67,13,21,0,28,0,0,0,0
75967.79,2500.0,30.39,1,5,5,49,1,1,2,1
9731.89,8000.0,1.22,18,1,0,20,0,0,0,0
953.53,1500.0,0.64,13,21,0,31,1,0,0,0
1939.91,3000.0,0.65,13,13,0,34,0,0,0,0
15040.36,3000.0,5.01,22,6,3,45,0,0,0,0
3015.02,2000.0,1.51,15,21,0,19,0,0,0,0
22897.99,6000.0,3.82,16,24,5,5,1,0,0,0
3051.16,2000.0,1.53,21,24,0,6,0,0,0,0
2998.53,3000.0,1.0,7,18,0,26,0,0,0,0
22662.66,4500.0,5.04,16,17,4,47,0,0,1,0
23087.86,12000.0,1.92,12,15,0,8,0,0,0,0
11832.45,12000.0,0.99,12,27,0,6,0,0,0,0
1934.67,1500.0,1.29,12,9,0,7,0,0,0,0
1802.41,3000.0,0.6,16,15,0,32,0,0,0,0
2400.5,2500.0,0.96,12,24,0,43,0,0,0,0
24503.84,4000.0,6.13,20,13,10,39,0,1,2,1
4493.15,2500.0,1.8,17,5,0,48,0,0,0,0
3416.41,4500.0,0.76,17,6,0,10,0,0,0,0
5222.9,12000.0,0.44,12,5,0,46,0,0,0,0
44346.0,8000.0,5.54,18,14,4,43,1,0,1,0
11617.26,8000.0,1.45,8,9,0,16,0,0,0,0
4291.26,2500.0,1.72,7,8,0,18,0,0,0,0
2915.88,2500.0,1.17,9,10,0,40,0,0,0,0
3917.68,3000.0,1.31,10,11,2,24,0,0,0,0
1108.66,1500.0,0.74,12,24,0,19,0,0,0,0
6202.84,6000.0,1.03,12,21,0,25,0,0,0,0
976.27,1500.0,0.65,16,15,0,31,0,0,0,0
2616.06,3000.0,0.87,21,4,0,41,0,0,0,0
18950.57,12000.0,1.58,16,14,0,26,0,0,0,0
1949.72,3000.0,0.65,11,3,1,38,0,0,0,0
2644.9,3000.0,0.88,14,13,0,5,0,0,0,0
4412.99,4500.0,0.98,10,28,0,40,0,0,1,0
14614.6,12000.0,1.22,12,6,1,47,0,0,0,0
4621.93,3000.0,1.54,5,24,0,48,0,0,1,0
1121.9,1500.0,0.75,12,24,0,28,0,0,0,0
3784.1,2500.0,1.51,18,5,2,29,0,0,0,0
1683.04,2500.0,0.67,13,17,0,25,0,0,0,0
14153.63,12000.0,1.18,11,1,0,5,0,0,0,0
836.04,1500.0,0.56,10,11,1,17,0,0,1,0
1579.81,1500.0,1.05,10,28,0,30,0,0,1,0
1886.77,2500.0,0.75,10,20,1,25,0,0,0,0
11190.75,12000.0,0.93,16,28,0,32,0,0,0,0
11043.67,4000.0,2.76,13,12,12,40,1,1,1,1
12775.19,6000.0,2.13,9,20,0,48,0,0,0,0
4595.79,2000.0,2.3,13,26,0,7,0,0,0,0
49716.19,2000.0,24.86,6,22,2,8,1,0,1,1
5312.09,8000.0,0.66,21,27,0,49,0,0,0,0
1224.34,2000.0,0.61,16,6,0,47,0,0,0,0
6625.57,6000.0,1.1,15,24,0,34,0,0,0,0
251.38,1500.0,0.17,7,26,0,7,0,0,0,0
3253.24,3000.0,1.08,12,2,1,44,0,0,1,0
23482.53,4500.0,5.22,18,11,4,45,1,0,1,0
1946.82,2500.0,0.78,10,19,0,46,0,0,1,0
1285.79,2000.0,0.64,7,5,0,37,0,1,0,0
2150.49,2000.0,1.08,14,16,1,40,0,0,0,0
3254.55,4500.0,0.72,15,8,0,50,0,0,0,0
9893.24,6000.0,1.65,9,5,1,8,0,0,0,0
998.35,2500.0,0.4,12,18,0,32,0,0,0,0
3648.07,2500.0,1.46,20,1,0,33,0,0,0,0
1261.49,1500.0,0.84,18,16,0,16,0,0,0,0
1753.35,1500.0,1.17,19,3,0,27,0,0,0,0
1932.71,2000.0,0.97,13,16,0,16,0,0,0,0
1119.67,1500.0,0.75,15,4,0,31,0,0,0,0
10321.6,8000.0,1.29,7,24,0,31,0,0,1,0
4424.34,4500.0,0.98,17,1,0,45,0,0,0,0
2268.85,2000.0,1.13,8,17,0,15,0,0,1,0
1473.69,2000.0,0.74,12,13,0,50,0,0,0,0
6047.13,4500.0,1.34,17,4,0,22,0,0,0,0
8926.69,6000.0,1.49,19,21,1,30,0,0,1,0
3100.44,2500.0,1.24,19,1,0,14,0,0,0,0
946.52,1500.0,0.63,12,22,0,6,0,0,0,0
17806.16,12000.0,1.48,19,17,0,34,0,0,0,0
2818.78,3000.0,0.94,12,6,0,8,0,0,0,0
2843.13,2500.0,1.14,12,22,0,46,0,0,0,0
24142.7,6000.0,4.02,11,3,3,47,0,0,1,0
8005.31,8000.0,1.0,19,5,0,35,0,0,0,0
9573.01,6000.0,1.6,14,13,1,39,0,0,1,0
13703.48,6000.0,2.28,12,1,0,24,0,0,0,0
11396.36,8000.0,1.42,20,21,0,45,0,0,0,0
2029.8,2000.0,1.01,10,28,0,14,0,0,0,0
1396.06,1500.0,0.93,13,25,1,8,0,0,0,0
2977.21,2000.0,1.49,16,10,0,25,0,0,0,0
9639.43,6000.0,1.61,16,15,2,18,0,0,0,0
2526.29,1500.0,1.68,8,21,0,30,0,0,0,0
12848.45,12000.0,1.07,14,15,0,6,0,0,0,0
9802.61,8000.0,1.23,14,15,0,26,0,0,1,0
9039.09,6000.0,1.51,21,3,0,46,0,0,0,0
13163.92,2500.0,5.27,16,12,5,10,1,1,1,0
1472.74,3000.0,0.49,14,5,0,45,0,0,0,0
2001.59,2500.0,0.8,10,8,0,13,0,0,0,0
12194.99,12000.0,1.02,11,6,0,6,0,0,1,0
7375.68,3000.0,2.46,13,2,0,43,0,0,0,0
8430.86,6000.0,1.41,12,25,0,43,0,0,0,0
5044.2,4500.0,1.12,14,26,0,6,0,0,0,0
7015.24,8000.0,0.88,12,18,0,40,0,0,0,0
2111.97,2000.0,1.06,13,25,1,26,0,0,0,0
6874.67,6000.0,1.15,11,3,0,49,0,0,1,0
8724.8,8000.0,1.09,19,13,0,32,0,0,0,0
10909.43,12000.0,0.91,12,13,0,7,0,0,0,0
2077.76,2500.0,0.83,7,17,0,19,0,0,0,0
4102.94,4500.0,0.91,9,4,0,27,0,0,0,0
3996.47,3000.0,1.33,8,17,0,36,0,0,0,0
3924.28,6000.0,0.65,20,5,0,31,0,0,0,0
10949.27,2500.0,4.38,11,27,5,5,1,1,1,0
11134.01,2500.0,4.45,16,25,4,49,1,0,2,1
11713.62,2000.0,5.86,5,16,11,10,1,1,2,1
1317.52,1500.0,0.88,11,14,0,26,0,0,0,0
1133.7,1500.0,0.76,19,24,0,18,0,0,1,0
5695.92,3000.0,1.9,15,20,0,15,0,0,0,0
31880.24,6000.0,5.31,13,17,3,50,1,1,2,0
1940.49,2500.0,0.78,18,6,0,47,0,0,1,0
4570.65,6000.0,0.76,10,8,0,19,0,0,0,0
5434.27,8000.0,0.68,10,16,0,14,0,0,0,0
1718.22,1500.0,1.15,16,10,0,29,0,0,0,0
2965.05,2500.0,1.19,14,28,0,23,0,0,0,0
7219.67,8000.0,0.9,13,20,0,30,0,0,0,0
6363.57,4500.0,1.41,16,8,0,39,0,0,0,0
1766.25,3000.0,0.59,14,4,0,9,0,0,1,0
1288.78,2000.0,0.64,17,2,1,30,0,0,0,0
2250.01,1500.0,1.5,20,2,0,32,0,0,0,0
2392.6,1500.0,1.6,22,10,0,33,0,0,0,0
6790.28,1500.0,4.53,11,22,3,47,1,1,2,0
959.15,1500.0,0.64,15,9,0,24,0,0,0,0
1487.83,1500.0,0.99,8,10,0,28,0,0,0,0
8214.03,6000.0,1.37,9,8,0,17,0,0,0,0
2072.52,1500.0,1.38,11,23,0,11,0,0,0,0
9137.52,2500.0,3.66,14,5,5,47,1,0,1,0
1739.76,3000.0,0.58,8,22,0,38,0,0,0,0
12707.65,2500.0,5.08,18,17,5,17,1,0,1,0
8909.17,8000.0,1.11,16,21,0,45,0,0,1,0
29395.06,1500.0,19.6,12,14,6,39,1,1,2,1
6640.1,8000.0,0.83,9,3,0,22,0,0,0,0
6020.34,6000.0,1.0,15,2,0,11,0,0,0,0
34977.14,6000.0,5.83,20,11,3,48,1,1,2,0
6508.81,8000.0,0.81,18,25,1,6,0,0,0,0
4353.89,4500.0,0.97,15,3,0,38,0,0,0,0
3466.64,2500.0,1.39,13,28,0,50,0,0,0,0
3248.7,4500.0,0.72,7,16,2,22,0,0,0,0
2576.36,2000.0,1.29,16,9,0,13,0,0,0,0
25222.29,12000.0,2.1,11,27,0,41,0,0,0,0
7952.68,8000.0,0.99,16,9,2,46,0,0,0,0
10547.88,3000.0,3.52,20,27,3,45,1,1,1,0
2036.29,3000.0,0.68,19,5,0,12,0,0,0,0
23272.57,6000.0,3.88,17,8,3,35,1,1,1,0
1411.73,2500.0,0.56,17,17,0,32,0,0,0,0
3102.91,3000.0,1.03,15,18,1,35,0,0,0,0
2992.44,6000.0,0.5,19,9,1,25,0,0,0,0
10292.09,6000.0,1.72,10,25,0,30,0,0,0,0
4600.49,4500.0,1.02,18,20,0,43,0,0,1,0
4330.67,2000.0,2.17,2,26,1,41,0,0,0,0
3260.74,3000.0,1.09,19,8,0,8,0,0,0,0
9457.36,4500.0,2.1,10,7,0,49,0,0,0,0
6281.07,4500.0,1.4,9,6,0,15,0,0,0,0
5604.34,8000.0,0.7,17,25,0,41,0,0,0,0
2685.37,2500.0,1.07,9,16,0,9,0,0,0,0
2199.73,3000.0,0.73,15,21,0,38,0,0,0,0
5576.84,4500.0,1.24,8,21,0,47,0,0,0,0
6382.7,6000.0,1.06,11,1,0,18,0,0,0,0
4400.54,2500.0,1.76,6,23,0,10,0,0,0,0
1104.23,1500.0,0.74,19,16,1,24,0,0,0,0
4985.41,4500.0,1.11,13,9,0,27,0,0,0,0
1399.24,2000.0,0.7,12,6,0,27,0,0,0,0
1507.4,2000.0,0.75,14,26,0,38,0,0,0,0
53183.01,12000.0,4.43,4,24,5,43,1,0,1,0
11789.45,2000.0,5.89,7,27,4,31,0,0,2,0
3711.78,2000.0,1.86,19,24,1,37,0,0,0,0
1313.39,1500.0,0.88,16,24,0,29,0,0,0,0
68989.33,12000.0,5.75,14,24,3,33,0,0,1,0
1841.36,1500.0,1.23,15,22,0,45,0,0,0,0
2816.71,2000.0,1.41,5,9,0,17,0,0,0,0
53604.18,12000.0,4.47,22,3,5,18,1,0,2,0
1856.5,2500.0,0.74,9,22,0,34,0,0,0,0
21749.12,6000.0,3.62,11,14,3,40,0,0,1,0
6041.83,8000.0,0.76,6,13,0,22,0,0,0,0
4223.43,3000.0,1.41,17,21,0,11,0,0,1,0
1841.8,2000.0,0.92,20,28,0,26,0,0,0,0
12235.78,8000.0,1.53,17,2,1,12,0,0,0,0
2863.61,2000.0,1.43,19,25,0,5,0,0,0,0
3519.99,3000.0,1.17,15,27,0,16,0,0,0,0
2055.53,1500.0,1.37,3,3,0,39,0,0,0,0
1293.24,1500.0,0.86,22,2,0,49,0,0,0,0
6503.65,12000.0,0.54,13,12,0,32,0,0,0,0
10050.23,6000.0,1.68,14,22,0,29,0,0,1,0
5810.08,3000.0,1.94,11,3,0,17,0,0,0,0
1386.09,2500.0,0.55,10,4,0,20,0,0,0,0
2837.09,2500.0,1.13,13,7,0,5,0,0,0,0
1964.37,1500.0,1.31,17,19,1,47,0,0,0,0
6027.24,8000.0,0.75,14,1,0,48,0,0,0,0
8851.14,4500.0,1.97,12,24,0,16,0,0,0,0
2701.33,3000.0,0.9,17,13,0,25,0,0,0,0
12397.13,8000.0,1.55,19,25,0,42,0,0,0,0
2202.47,2000.0,1.1,16,8,0,35,1,0,0,0
2628.87,1500.0,1.75,11,25,0,24,1,0,0,0
564.15,1500.0,0.38,18,1,0,37,0,0,0,0
5947.49,12000.0,0.5,4,27,0,39,0,0,2,0
9013.83,6000.0,1.5,17,4,0,34,0,0,0,0
16936.93,3000.0,5.65,17,23,3,40,1,1,1,0
1969.59,2500.0,0.79,13,11,0,33,0,0,1,0
